SKU,Description,Ridgefield latte,Oxford latte,Ridgefield pastel,Oxford Pastel,,,,,,,
BF3,"3"" Base Filler",45,45,45,45,,,,,,B,
BF6,"6"" Base Filler",74,74,74,74,,,,,,B,
OWF330,"30"" Overlay Wall Filler",64,64,64,64,,,,,,B,
OWF336,"36"" Overlay Wall Filler",58,58,58,58,,,,,,B,
OWF342,"42"" Overlay Wall Filler",99,99,99,99,,,,,,B,
OTF384,"84"" Overlay Tall Filler",180,180,180,180,,,,,,B,
OTF396,"96"" Overlay Tall Filler",191,191,191,191,,,,,,B,
DWR3,"3"" Dishwasher Return",141,141,141,141,,,,,,B,
DWR6,"6"" Dishwasher Return",179,179,179,179,,,,,,B,
REP396,Refrigerator End Panel,320,320,320,320,,,,,,B,
UREP24X96,"24"" universal Refrigerator End Panel",268,268,268,268,,,,,,B,
PLY1/4,"1/4"" Plywood",403,403,403,403,,,,,,B,
PLY1/2,"1/2"" Plywood",421,421,421,421,,,,,,B,
PLY3/4,"3/4"" Plywood",519,519,519,519,,,,,,B,
PLYB4x8,"1/4"" Beaded Plywood",457,457,457,457,,,,,,B,
VAL-S,Straight Valance,181,181,181,181,,,,,,B,
VAL-A,Arched Valance,131,131,131,131,,,,,,B,
THOOD30,"30"" Traditional Hood",1838,1838,1838,1838,,,,,,B,
THOOD36,"36"" Traditional Hood",2072,2072,2072,2072,,,,,,B,
CS7,"7"" Shaker Corbel",302,302,302,302,,,,,,B,
CS10,"10"" Shaker Corbel",321,321,321,321,,,,,,B,
CV7,"7"" Violin Corbel",281,281,281,281,,,,,,B,
CV10,"10"" Violin Corbel",308,308,308,308,,,,,,B,
POST-P36,Post,544,544,544,544,,,,,,B,
POST-F36,Fluted Post,579,579,579,579,,,,,,B,
POST-S36,Shaker Post,703,703,703,703,,,,,,B,
SPINBASE-P,Base Spindle,311,311,311,311,,,,,,B,
SPIN-P-30,"30""  Spindle",304,304,304,304,,,,,,B,
SPIN-P-36,"36""  Spindle",315,315,315,315,,,,,,B,
SPIN-P-42,"42""  Spindle",328,328,328,328,,,,,,B,
SPINBASE-F,Fluted Base Spindle,331,331,331,331,,,,,,B,
SPIN-F-30,"30"" Fluted Spindle",324,324,324,324,,,,,,B,
SPIN-F-36,"36"" Fluted Spindle",335,335,335,335,,,,,,B,
SPIN-F-42,"42"" Fluted Spindle",348,348,348,348,,,,,,B,
SPINBASE-S,Shaker Base Spindle ,483,483,483,483,,,,,,B,
SPIN-S-30,"30"" Shaker Spindle",479,479,479,479,,,,,,B,
SPIN-S-36,"36"" Shaker Spindle",485,485,485,485,,,,,,B,
