PRODUCT COLLECTION,PRODUCT ID,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,Item Id,Web Link,Product Line,Material,Product Category,Item Description,Status,Source,Volume,Creation Date
SILVER ASH TUMBLED VENEER MOSAIC,SMOT-VNR-SLVRASH-T,PATTERN,TUMBLED,0.38 INCH,1,10,10,EACH,9.97,9.97,,SMOT-VNR-SLVRASH-T,www.msisurfaces.com/mosaic-hatches/silver-ash-tumbled-veneer/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Ash Tumbled Veneer 8x18,MSI,Q1-2019 Price List,NEW,20-Feb-15
SILVER TRAVERTINE 1X2 SPLITFACE MOSAIC,SMOT-SILTRA-1X2SF,1x2,SPLITFACE,0.38 INCH,1,10,10,EACH,10.33,10.33,,SMOT-SILTRA-1X2SF,www.msisurfaces.com/silver-travertine/1x2-split-face/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine 1x2 Split Face,MSI,Q1-2019 Price List,NEW,8-Dec-15
SILVER TRAVERTINE 2X4 MOSAIC,SMOT-SILTRA-2x4HB,2x4,HONED,0.38 INCH,1,10,10,EACH,9.97,9.97,,SMOT-SILTRA-2x4HB,www.msisurfaces.com/mosaic-hatches/silver-travertine-subway-tile/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine 2x4 Honed and Beveled,MSI,Q1-2019 Price List,NEW,20-Feb-14
SILVER TRAVERTINE 2X4 SPLITFACE MOSAIC,SMOT-SILTRA-2X4SF,PATTERN,SPLITFACE,0.50 INCH,1,5,5,EACH,9.28,9.28,,SMOT-SILTRA-2X4SF,www.msisurfaces.com/silver-travertine/2x4-split-face/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine 2x4 Split Face,MSI,Q1-2019 Price List,NEW,8-Dec-15
SILVER TRAVERTINE 3 HEXAGON MOSAIC,SMOT-SILTRA-3HEXH,PATTERN,HONED,0.38 INCH,1,10,10,EACH,12.24,12.24,,SMOT-SILTRA-3HEXH,www.msisurfaces.com/silver-travertine/3''-hexagon-honed/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,"Silver Travertine 3"" Hexagon HF",MSI,Q1-2019 Price List,NEW,8-Dec-15
SILVER TRAVERTINE 3X6 HONED,TTSILTR36H,3X6,HF,0.38 INCH,0.13,40,5,SQFT,4.88,0.61,,TTSILTR36H,www.msisurfaces.com/travertine-3x6-honed/silver-travertine-subway-tile/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine 3x6 Honed and Filled,MSI,Q1-2019 Price List,NEW,8-Dec-15
SILVER TRAVERTINE 3X6 TUMBLED,TTSILTR36T,3X6,TUMBLED,0.38 INCH,0.13,40,5,SQFT,4.48,0.56,,TTSILTR36T,www.msisurfaces.com/travertine/silver-travertine/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine 3x6 Tumbled,MSI,Q1-2019 Price List,NEW,8-Dec-15
SILVER TRAVERTINE 4X12 ,TTSILTR412H,4x12,HF,0.38 INCH,0.33,15,4.95,SQFT,4.73,1.56,,TTSILTR412H,www.msisurfaces.com/travertine/silver-travertine/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine 4x12 Honed and Filled,MSI,Q1-2019 Price List,NEW,8-Dec-15
SILVER TRAVERTINE 4X4,TTSILTR44T,4x4,TUMBLED,0.38 INCH,0.11,45,4.95,SQFT,4.36,0.48,,TTSILTR44T,,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine 4x4 Tumbled,MSI,Q1-2019 Price List,NEW,8-Dec-15
SILVER TRAVERTINE 6X6,TTSILTR66T,6X6,TUMBLED,0.38 INCH,0.25,20,5,SQFT,4.32,1.08,,TTSILTR66T,,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Silver Travertine 6x6 Tumbled,MSI,Q1-2019 Price List,NEW,29-Feb-16
