* Color Green highlighted items are launched in last 6 months,,,,,,,,,,,,,,,,,,,,,,,,
*Items highlighted in Orange will have a rolling change in pieces per box or boxes per pallet packaging in 2020.  These will be communicated as the old inventory depletes and the new inventory with new packaging arrives,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT COLLECTION,ItemNumber,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,ItemNumber,Web Link,Product Line,Material,Product Category,PRODUCT COLLECTION,Description,Status,Source,Creation Date,Comments,,
BASALT BLUE BAMBOO,SMOT-BSLTB-BMP10MM,PATTERN,HONED,0.38 INCH,1.00,10.00,10.00,EACH,12.50,12.50,,SMOT-BSLTB-BMP10MM,https://www.msisurfaces.com/mosaic-hatches/basalt-blue-bamboo/,MD,BASALT,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BASALT BLUE BAMBOO,Basalt Blue Bamboo Honed,MSI,2019 Price list,18-Feb-11,,,
BAYVIEW ELONGATED OCTAGON,SMOT-SGLSMT-BAYVIEW10MM,PATTERN,MISC.,0.38 INCH,1.10,10.00,11.00,EACH,11.57,11.57,,SMOT-SGLSMT-BAYVIEW10MM,https://www.msisurfaces.com/glass-stone-metal-blend/bayview-elongated-octagon/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BAYVIEW ELONGATED OCTAGON,Bayview Elongated Octagon 10mm,MSI,2019 Price list,16-Sep-15,,,
BELLAGIO BLEND ELONGATED HEXAGON,SMOT-BELBLND-HEXEL10MM,MISC.,HONED,0.38 INCH,0.97,10.00,9.70,EACH,12.26,12.26,,SMOT-BELBLND-HEXEL10MM,https://www.msisurfaces.com/white-oak/bellagio-blend-elongated-hexagon/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BELLAGIO BLEND ELONGATED HEXAGON,Bellagio Blend Elongated Hexagon Honed,MSI,2019 Price list,10-Sep-15,,,
BERGAMO HERRINGBONE,SMOT-BERGAMO-HB10MM,1X2,POLISHED,0.38 INCH,0.94,10.00,9.40,EACH,10.69,10.69,,SMOT-BERGAMO-HB10MM,https://www.msisurfaces.com/mosaic-hatches/bergamo-herringbone/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BERGAMO HERRINGBONE,Bergamo Herringbone Polished,MSI,2019 Price list,26-Mar-14,,,
BERGAMO INTERLOCKING,SMOT-BERGAMO-IP10MM,PATTERN,MISC.,0.38 INCH,0.97,10.00,9.70,EACH,12.15,12.15,,SMOT-BERGAMO-IP10MM,https://www.msisurfaces.com/mosaic-hatches/bergamo-interlocking/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BERGAMO INTERLOCKING,Bergamo Interlocking Pattern,MSI,2019 Price list,9-Apr-18,,,
BERGAMO MAGIC,SMOT-BERGAMO-MP10MM,PATTERN,MISC.,0.38 INCH,1.00,10.00,10.00,EACH,12.15,12.15,,SMOT-BERGAMO-MP10MM,https://www.msisurfaces.com/glass-mosaics/bergamo-magic-pattern-polished/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BERGAMO MAGIC,Bergamo Magic Pattern,MSI,2019 Price list,7-Jun-17,,,
BIANCO ARABESQUE,SMOT-PT-BIANCO-ARABESQ,PATTERN,GLOSSY,0.24 INCH,0.73,15.00,10.95,EACH,7.11,7.11,,SMOT-PT-BIANCO-ARABESQ,https://www.msisurfaces.com/ceramic-mosaics/bianco-arabesque/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BIANCO ARABESQUE,Bianco Arabesque 6mm,MSI,2019 Price list,29-Jan-15,,,
BLANCO LYNX POLISHED,SMOT-SMTL-BLALYN8MM,PATTERN,MISC.,0.31 INCH,0.76,10.00,7.60,EACH,18.37,18.37,,SMOT-SMTL-BLALYN8MM,https://www.msisurfaces.com/glass-mosaics/blanco-lynx/,MD,MOSAIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BLANCO LYNX POLISHED,Blanco Lynx Polished,MSI,New Addtion,16-Apr-19,,,
BLOCKI BLANCO INTERLOCKING,SMOT-SGLSIL-BLOBLA8MM,PATTERN,MISC.,0.32 INCH,0.98,10.00,9.80,EACH,15.80,15.80,,SMOT-SGLSIL-BLOBLA8MM,https://www.msisurfaces.com/glass-stone-blend-designs/blocki-blanco-interlocking-Pattern-8mm/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BLOCKI BLANCO INTERLOCKING,Blocki Blanco Interlocking Pattern,MSI,2019 Price list,23-Aug-17,,,
BLOCKI GRIGIO INTERLOCKING,SMOT-SGLSIL-BLOGRI8MM,PATTERN,MISC.,0.32 INCH,0.98,10.00,9.80,EACH,14.75,14.75,,SMOT-SGLSIL-BLOGRI8MM,https://www.msisurfaces.com/glass-stone-blend-designs/blocki-grigio-interlocking-pattern-8mm/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BLOCKI GRIGIO INTERLOCKING,Blocki Grigio Interlocking Pattern,MSI,2019 Price list,23-Aug-17,,,
BLUE SHIMMER ARABESQUE,SMOT-GLS-BLUSHI8MM,PATTERN,MISC.,0.31 INCH,0.71,10.00,7.10,EACH,11.03,11.03,,SMOT-GLS-BLUSHI8MM,https://www.msisurfaces.com/glass-mosaics/blue-shimmer-arabesque-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BLUE SHIMMER ARABESQUE,Blue Shimmer Arabesque 8mm,MSI,2019 Price list,31-Oct-18,,,
BOATHOUSE BLUE PICKET,SMOT-GLSPK-BOATBLU8MM,PATTERN,MISC.,0.31 INCH,0.83,10.00,8.30,EACH,11.88,11.88,,SMOT-GLSPK-BOATBLU8MM,#N/A,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BOATHOUSE BLUE PICKET,Boathouse Blue Picket 8mm,MSI,New Addtion,10-Jul-19,,,
BRIGHT WHITE 2X4 BEVELED,SMOT-PT-BRIWHT-2X4B,2x4,GLOSSY,0.24 INCH,0.89,15.00,13.35,EACH,5.44,5.44,,SMOT-PT-BRIWHT-2X4B,https://www.msisurfaces.com/ceramic-mosaics/bright-white-subway-tile-2x4-beveled/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BRIGHT WHITE 2X4 BEVELED,Bright White 2x4x6mm Beveled,MSI,2019 Price list,7-Sep-17,,,
CAFÉ NOCE,THDW3-SH-CN-8MM,5/8x5/8,MISC.,0.31 INCH,1.00,10.00,10.00,EACH,9.37,9.37,,THDW3-SH-CN-8MM,https://www.msisurfaces.com/5-8x5-8-glass-stone-blend-sheet/cafe-noce-glass-stone-blend/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,CAFÉ NOCE,CafÃ© Noce 5/8x5/8x8mm,MSI,2019 Price list,28-May-10,,,
CAIRO BLEND INTERLOCKING,SMOT-SGLSMTIL-CAIBLND8MM,MISC.,MISC.,0.31 INCH,1.50,10.00,15.00,EACH,17.53,17.53,,SMOT-SGLSMTIL-CAIBLND8MM,https://www.msisurfaces.com/glass-stone-metal-blend/cairo-blend-interlocking-pattern/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,CAIRO BLEND INTERLOCKING,Cairo Blend Interlocking Pattern 8mm,MSI,2019 Price list,10-Sep-15,,,
CALYPSO BLANCO LOTUS,SMOT-CALPBLA-MF10MM,PATTERN,MISC.,0.38 INCH,1.00,10.00,10.00,EACH,13.14,13.14,,SMOT-CALPBLA-MF10MM,https://www.msisurfaces.com/arabescato-carrara/calypso-blanco-lotus-pattern/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,CALYPSO BLANCO LOTUS,Calypso Blanco Lotus Pattern,MSI,2019 Price list,10-Sep-15,,,
CALYPSO INTERLOCKING,SMOT-GLSIL-CALYP8MM,PATTERN,MISC.,0.31 INCH,1.04,10.00,10.40,EACH,12.50,12.50,,SMOT-GLSIL-CALYP8MM,https://www.msisurfaces.com/crystallized-glass-blend-8mm/calypso-interlocking/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,CALYPSO INTERLOCKING,Calypso Interlocking Pattern 8mm,MSI,2019 Price list,24-Jun-15,,,
