ghi,Code,Desc,List Price
,GWAC2436ACL,GHI WAC2436 AR LINEN SHAKER, $323.00 
,GWDC2436ACL,GHI WDC2436 ACL LINEN SHAKER, $295.00 
,GWDC2736ACL,GHI WDC2736 ACL LINEN SHAKER, $335.00 
,GW0942ACL,GHI W0942 ACL LINEN SHAKER, $155.00 
,GW1242ACL,GHI W1242 ACL LINEN SHAKER, $181.00 
,GW1542ACL,GHI W1542 ACL LINEN SHAKER, $196.00 
,GW1842ACL,GHI W1842 ACL LINEN SHAKER, $228.00 
,GW2142ACL,GHI W2142 ACL LINEN SHAKER, $240.00 
,GW2442ACL,GHI W2442 ACL LINEN SHAKER, $278.00 
,GW2742ACL,GHI W2742 ACL LINEN SHAKER, $304.00 
,GW3042ACL,GHI W3042 ACL LINEN SHAKER, $307.00 
,GW3342ACL,GHI W3342 ACL LINEN SHAKER, $328.00 
,GW3642ACL,GHI W3642 ACL LINEN SHAKER, $349.00 
,GWAC2442ACL,GHI W2442 ACL LINEN SHAKER, $365.00 
,GWDC2442ACL,GHI WDC2442 ACL LINEN SHAKER, $340.00 
,GWDC2742ACL,GHI WDC2742 ACL LINEN SHAKER, $382.00 
,GB09ACL,GHI B09 ACL LINEN SHAKER(FH), $191.00 
,GB12ACL,GHI B12 ACL LINEN SHAKER, $214.00 
,GB15ACL,GHI B15 ACL LINEN SHAKER, $217.00 
,GB18ACL,GHI B18 ACL LINEN SHAKER, $236.00 
,GB18AFHACL,GHI B18FH ACL LINEN SHAKER, $195.00 
,GB21ACL,GHI B21 ACL LINEN SHAKER, $262.00 
,GB24ACL,GHI B24 ACL LINEN SHAKER, $284.00 
,GB27ACL,GHI B27 ACL LINEN SHAKER, $317.00 
,GB30ACL,GHI B30 ACL LINEN SHAKER, $364.00 
,GB33ACL,GHI B33 ACL LINEN SHAKER, $380.00 
,GB36ACL,GHI B36 ACL LINEN SHAKER, $396.00 
,GBBC42-45ACL,GHI BBC42-45 ACL LINEN SHAKER, $332.00 
,GDB15ACL,GHI DB15 ACL LINEN SHAKER, $382.00 
,GDB18ACL,GHI DB18 ACL LINEN SHAKER, $388.00 
,GDB21ACL,GHI DB21 ACL LINEN SHAKER, $398.00 
,GDB24ACL,GHI DB24 ACL LINEN SHAKER, $404.00 
,GDB24-2ACL,GHI DB24-2 ACL LINEN SHA-2 drawer, $370.00 
,GDB30ACL,GHI DB30 ACL LINEN SHAKER, $413.00 
,GDB30-2ACL,GHI DB30-2 ACL LINEN SHA-2 drawer, $379.00 
,GDCB3612ACL,GHI DCB3612 ACL LINEN SHAKER, $566.00 
,GBC24ACL,GHI BC24 ACL LINEN SHAKER, $611.00 
,GSB30ACL,GHI SB30 ACL LINEN SHAKER, $295.00 
,GSB33ACL,GHI SB33 ACL LINEN SHAKER, $305.00 
,GSB36ACL,GHI SB36 ACL LINEN SHAKER, $314.00 
,GFSB36ACL,GHI FSB36 ACL LINEN SHAK (FARMHOUSE) SINK, $305.00 
,GSB42ACL,GHI SB42 ACL LINEN SHAKER, $344.00 
,GSB60ACL,GHI SB60 ACL LINEN SHAKER, $490.00 
,GWP1884ACL,GHI WP1884 ACL LINEN SHAKER, $603.00 
,GWP2484ACL,GHI WP2484 ACL LINEN SHAKER, $811.00 
,GWP1890ACL,GHI WP1890 ACL LINEN SHAKER, $647.00 
,GWP2490ACL,GHI WP2490 ACL LINEN SHAKER, $869.00 
,GWP1896ACL,GHI WP1896 ACL LINEN SHAKER, $669.00 
,GWP2496ACL,GHI WP2496 ACL LINEN SHAKER, $899.00 
,GOU332484ACL,GHI OU332484 ACL LINEN SHAKER," $1,252.00 "
,GOU332490ACL,GHI OU332490 ACL LINEN SHAKER," $1,311.00 "
,GTK8LW,GHI TK8  LINEN WHITE (ACL/NTL), $22.00 
,GCM8ACL,GHI CM8 ACLADIA LINEN SHAKER, $72.00 
,GSM8ACL,GHI SHAKER CROWN ACL LINEN SH, $69.00 
,GFBM8LW,GHI FBM8 LINEN WHITE (ACL/NTL), $68.00 
,GLRMS7ACL,GHI LRM7 ACL LINEN SHAKER, $35.00 
,GOSC7LW,GHI OSC7  LINEN WHITE (ACL/NTL), $39.00 
,GSCM7LW,GHI SCM7  LINEN WHITE (ACL/NTL), $23.00 
,GVAR48LW,GHI VAR48  LINEN WHITE (ACL/NTL), $12.00 
,GF330LW,GHI F330  LINEN WHITE (ACL/NTL), $6.00 
,GF342LW,GHI F342 LINEN WHITE (ACL/NTL), $7.00 
,GF396LW,GHI F396  LINEN WHITE (ACL/NTL), $17.00 
